Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Sales,Date,Time,Payment,Rating
649-29-6775,Cairo,Mandalay,Member,Female,Fashion accessories,33.52,35.196,02/08/2019,3:31:00 pm,Cash,6.7
189-17-4241,Alex,Yangon,Member,Female,Fashion accessories,87.67,184.107,03/10/2019,12:17:00 pm,Credit card,7.7
145-94-9061,Cairo,Mandalay,Member,Female,Food and beverages,88.36,463.89,1/25/2019,7:48:00 pm,Cash,9.6
848-62-7243,Alex,Yangon,Member,Female,Health and beauty,24.89,235.2105,3/15/2019,3:36:00 pm,Cash,7.4
871-79-8483,Cairo,Mandalay,Member,Female,Fashion accessories,94.13,494.1825,2/25/2019,7:39:00 pm,Credit card,4.8
149-71-6266,Cairo,Mandalay,Member,Female,Sports and travel,78.07,737.7615,1/28/2019,12:43:00 pm,Cash,4.5
640-49-2076,Cairo,Mandalay,Member,Female,Sports and travel,83.78,703.752,01/10/2019,2:49:00 pm,Cash,5.1
595-11-5460,Alex,Yangon,Member,Female,Health and beauty,96.58,202.818,3/15/2019,10:12:00 am,Credit card,5.1
183-56-6882,Giza,Naypyitaw,Member,Female,Food and beverages,99.42,417.564,02/06/2019,10:42:00 am,Ewallet,7.5
232-16-2483,Giza,Naypyitaw,Member,Female,Sports and travel,68.12,71.526,01/07/2019,12:28:00 pm,Ewallet,6.8
129-29-8530,Alex,Yangon,Member,Female,Sports and travel,62.62,328.755,03/10/2019,7:15:00 pm,Ewallet,7
272-65-1806,Alex,Yangon,Member,Female,Electronic accessories,60.88,575.316,1/15/2019,5:17:00 pm,Ewallet,4.7
333-73-7901,Giza,Naypyitaw,Member,Female,Health and beauty,54.92,461.328,3/23/2019,1:24:00 pm,Ewallet,7.6
777-82-7220,Cairo,Mandalay,Member,Female,Home and lifestyle,30.12,253.008,03/03/2019,1:01:00 pm,Cash,7.7
280-35-5823,Cairo,Mandalay,Member,Female,Home and lifestyle,86.72,91.056,1/17/2019,6:45:00 pm,Ewallet,7.9
554-53-8700,Giza,Naypyitaw,Member,Female,Home and lifestyle,56.11,117.831,02/02/2019,10:11:00 am,Cash,6.3
354-25-5821,Cairo,Mandalay,Member,Female,Sports and travel,69.12,435.456,02/08/2019,1:03:00 pm,Cash,5.6
228-96-1411,Giza,Naypyitaw,Member,Female,Food and beverages,98.7,829.08,03/04/2019,8:39:00 pm,Cash,7.6
617-15-4209,Giza,Naypyitaw,Member,Female,Health and beauty,15.37,32.277,3/16/2019,7:47:00 pm,Cash,7.2
132-32-9879,Cairo,Mandalay,Member,Female,Electronic accessories,93.96,394.632,03/09/2019,6:00:00 pm,Cash,9.5
370-41-7321,Cairo,Mandalay,Member,Female,Health and beauty,56.69,535.7205,2/27/2019,5:24:00 pm,Credit card,8.4
727-46-3608,Cairo,Mandalay,Member,Female,Food and beverages,20.01,189.0945,02/06/2019,3:47:00 pm,Ewallet,4.1
669-54-1719,Cairo,Mandalay,Member,Female,Electronic accessories,18.93,119.259,02/10/2019,12:45:00 pm,Credit card,8.1
574-22-5561,Giza,Naypyitaw,Member,Female,Fashion accessories,82.63,867.615,3/19/2019,5:08:00 pm,Ewallet,7.9
326-78-5178,Giza,Naypyitaw,Member,Female,Food and beverages,91.4,671.79,02/03/2019,10:19:00 am,Cash,9.5
162-48-8011,Alex,Yangon,Member,Female,Food and beverages,44.59,234.0975,02/10/2019,3:10:00 pm,Cash,8.5
616-24-2851,Cairo,Mandalay,Member,Female,Fashion accessories,17.87,75.054,3/22/2019,2:42:00 pm,Ewallet,6.5
778-71-5554,Giza,Naypyitaw,Member,Female,Fashion accessories,15.43,16.2015,1/25/2019,3:46:00 pm,Credit card,6.1
242-55-6721,Cairo,Mandalay,Member,Female,Home and lifestyle,16.16,33.936,03/07/2019,11:49:00 am,Ewallet,6.5
399-46-5918,Giza,Naypyitaw,Member,Female,Electronic accessories,85.98,722.232,2/28/2019,7:01:00 pm,Cash,8.2
106-35-6779,Alex,Yangon,Member,Female,Home and lifestyle,44.34,93.114,3/27/2019,11:26:00 am,Cash,5.8
635-40-6220,Alex,Yangon,Member,Female,Health and beauty,89.6,752.64,02/07/2019,11:28:00 am,Ewallet,6.6
817-48-8732,Alex,Yangon,Member,Female,Home and lifestyle,72.35,759.675,1/20/2019,3:55:00 pm,Cash,5.4
120-06-4233,Giza,Naypyitaw,Member,Female,Electronic accessories,30.61,192.843,03/12/2019,8:36:00 pm,Cash,9.3
285-68-5083,Giza,Naypyitaw,Member,Female,Sports and travel,24.74,77.931,2/15/2019,5:47:00 pm,Credit card,10
803-83-5989,Giza,Naypyitaw,Member,Female,Home and lifestyle,55.73,351.099,2/24/2019,10:55:00 am,Ewallet,7
347-34-2234,Cairo,Mandalay,Member,Female,Sports and travel,55.07,520.4115,02/03/2019,1:40:00 pm,Ewallet,10
199-75-8169,Alex,Yangon,Member,Female,Sports and travel,15.81,166.005,03/06/2019,12:27:00 pm,Credit card,8.6
853-23-2453,Cairo,Mandalay,Member,Female,Health and beauty,75.74,318.108,2/14/2019,2:35:00 pm,Cash,7.6
877-22-3308,Alex,Yangon,Member,Female,Health and beauty,15.87,166.635,3/13/2019,4:40:00 pm,Cash,5.8
838-78-4295,Giza,Naypyitaw,Member,Female,Health and beauty,33.47,70.287,02/10/2019,3:43:00 pm,Ewallet,6.7
109-28-2512,Cairo,Mandalay,Member,Female,Fashion accessories,97.61,614.943,01/07/2019,3:01:00 pm,Ewallet,9.9
232-11-3025,Alex,Yangon,Member,Female,Sports and travel,78.77,827.085,1/24/2019,10:04:00 am,Cash,6.4
382-03-4532,Alex,Yangon,Member,Female,Health and beauty,18.33,19.2465,02/02/2019,6:50:00 pm,Cash,4.3
393-65-2792,Giza,Naypyitaw,Member,Female,Food and beverages,89.48,939.54,01/06/2019,12:46:00 pm,Credit card,9.6
796-12-2025,Giza,Naypyitaw,Member,Female,Fashion accessories,62.12,652.26,02/11/2019,4:19:00 pm,Cash,5.9
510-95-6347,Cairo,Mandalay,Member,Female,Food and beverages,48.52,152.838,03/05/2019,6:17:00 pm,Ewallet,4
841-35-6630,Giza,Naypyitaw,Member,Female,Electronic accessories,75.91,478.233,03/09/2019,6:21:00 pm,Cash,8.7
287-21-9091,Alex,Yangon,Member,Female,Home and lifestyle,74.67,705.6315,1/22/2019,10:55:00 am,Ewallet,9.4
732-94-0499,Giza,Naypyitaw,Member,Female,Electronic accessories,41.65,437.325,1/13/2019,5:04:00 pm,Credit card,5.4
263-10-3913,Giza,Naypyitaw,Member,Female,Fashion accessories,49.04,463.428,01/09/2019,2:20:00 pm,Credit card,8.6
381-20-0914,Alex,Yangon,Member,Female,Fashion accessories,20.01,189.0945,01/12/2019,3:48:00 pm,Credit card,5.7
829-49-1914,Giza,Naypyitaw,Member,Female,Food and beverages,78.31,822.255,03/05/2019,4:24:00 pm,Ewallet,6.6
756-01-7507,Giza,Naypyitaw,Member,Female,Health and beauty,20.38,106.995,1/22/2019,6:56:00 pm,Cash,6
870-72-4431,Giza,Naypyitaw,Member,Female,Health and beauty,99.19,624.897,1/21/2019,2:42:00 pm,Credit card,5.5
847-38-7188,Cairo,Mandalay,Member,Female,Food and beverages,96.68,304.542,1/26/2019,7:56:00 pm,Ewallet,6.4
480-63-2856,Giza,Naypyitaw,Member,Female,Food and beverages,19.25,161.7,1/23/2019,6:37:00 pm,Ewallet,6.6
787-56-0757,Giza,Naypyitaw,Member,Female,Food and beverages,80.36,337.512,2/23/2019,6:45:00 pm,Credit card,8.3
360-39-5055,Giza,Naypyitaw,Member,Female,Sports and travel,48.91,256.7775,03/09/2019,10:17:00 am,Cash,6.6
730-50-9884,Giza,Naypyitaw,Member,Female,Sports and travel,83.06,610.491,03/05/2019,2:31:00 pm,Ewallet,4
362-58-8315,Giza,Naypyitaw,Member,Female,Fashion accessories,76.52,401.73,3/25/2019,10:23:00 am,Cash,9.9
633-44-8566,Alex,Yangon,Member,Female,Food and beverages,49.38,362.943,3/27/2019,8:35:00 pm,Credit card,7.3
504-35-8843,Alex,Yangon,Member,Female,Sports and travel,42.47,44.5935,01/02/2019,4:57:00 pm,Cash,5.7
318-68-5053,Cairo,Mandalay,Member,Female,Health and beauty,76.99,485.037,2/27/2019,5:55:00 pm,Cash,6.1
565-80-5980,Giza,Naypyitaw,Member,Female,Home and lifestyle,47.38,198.996,1/23/2019,10:25:00 am,Cash,7.1
225-32-0908,Giza,Naypyitaw,Member,Female,Sports and travel,44.86,471.03,1/26/2019,7:54:00 pm,Ewallet,8.2
873-51-0671,Alex,Yangon,Member,Female,Sports and travel,21.98,161.553,01/10/2019,4:42:00 pm,Ewallet,5.1
152-08-9985,Cairo,Mandalay,Member,Female,Health and beauty,64.36,608.202,03/12/2019,12:09:00 pm,Credit card,8.6
512-91-0811,Giza,Naypyitaw,Member,Female,Health and beauty,89.75,94.2375,02/06/2019,8:05:00 pm,Credit card,6.6
594-34-4444,Alex,Yangon,Member,Female,Electronic accessories,97.16,102.018,03/08/2019,8:38:00 pm,Ewallet,7.2
766-85-7061,Cairo,Mandalay,Member,Female,Health and beauty,87.87,922.635,3/29/2019,10:25:00 am,Ewallet,5.1
871-39-9221,Giza,Naypyitaw,Member,Female,Electronic accessories,12.45,78.435,02/09/2019,1:11:00 pm,Cash,4.1
865-92-6136,Alex,Yangon,Member,Female,Food and beverages,52.75,166.1625,3/23/2019,10:16:00 am,Ewallet,9.3
733-01-9107,Cairo,Mandalay,Member,Female,Home and lifestyle,82.7,521.01,03/05/2019,6:14:00 pm,Cash,7.4
163-56-7055,Giza,Naypyitaw,Member,Female,Fashion accessories,48.71,51.1455,3/26/2019,7:20:00 pm,Cash,4.1
189-98-2939,Giza,Naypyitaw,Member,Female,Fashion accessories,78.55,742.2975,03/01/2019,1:22:00 pm,Cash,7.2
551-21-3069,Giza,Naypyitaw,Member,Female,Electronic accessories,23.07,218.0115,02/01/2019,11:27:00 am,Cash,4.9
212-62-1842,Alex,Yangon,Member,Female,Food and beverages,58.26,367.038,3/28/2019,4:44:00 pm,Cash,9.9
716-39-1409,Cairo,Mandalay,Member,Female,Health and beauty,30.35,223.0725,3/19/2019,6:19:00 pm,Cash,8
704-48-3927,Alex,Yangon,Member,Female,Electronic accessories,88.67,931.035,01/12/2019,2:50:00 pm,Ewallet,7.3
628-34-3388,Giza,Naypyitaw,Member,Female,Fashion accessories,27.38,172.494,01/05/2019,8:54:00 pm,Credit card,7.9
630-74-5166,Alex,Yangon,Member,Female,Sports and travel,62.13,391.419,3/22/2019,8:19:00 pm,Cash,7.4
588-01-7461,Giza,Naypyitaw,Member,Female,Food and beverages,33.98,321.111,3/24/2019,10:43:00 am,Cash,4.2
861-77-0145,Giza,Naypyitaw,Member,Female,Electronic accessories,81.97,860.685,03/03/2019,2:30:00 pm,Cash,9.2
479-26-8945,Cairo,Mandalay,Member,Female,Sports and travel,16.49,34.629,02/05/2019,11:32:00 am,Ewallet,4.6
210-67-5886,Giza,Naypyitaw,Member,Female,Health and beauty,98.21,309.3615,02/05/2019,10:41:00 am,Credit card,7.8
227-78-1148,Cairo,Mandalay,Member,Female,Fashion accessories,72.84,535.374,2/15/2019,12:44:00 pm,Cash,8.4
645-44-1170,Alex,Yangon,Member,Female,Home and lifestyle,58.07,548.7615,1/19/2019,8:07:00 pm,Ewallet,4.3
237-01-6122,Giza,Naypyitaw,Member,Female,Home and lifestyle,80.79,763.4655,02/01/2019,8:31:00 pm,Credit card,9.5
225-98-1496,Giza,Naypyitaw,Member,Female,Fashion accessories,27.02,85.113,03/02/2019,1:01:00 pm,Credit card,7.1
291-32-1427,Cairo,Mandalay,Member,Female,Fashion accessories,21.94,115.185,03/05/2019,12:29:00 pm,Ewallet,5.3
659-65-8956,Cairo,Mandalay,Member,Female,Fashion accessories,51.36,53.928,1/16/2019,3:26:00 pm,Ewallet,5.2
642-32-2990,Alex,Yangon,Member,Female,Food and beverages,10.96,115.08,02/02/2019,8:48:00 pm,Ewallet,6
378-24-2715,Cairo,Mandalay,Member,Female,Home and lifestyle,53.44,112.224,1/20/2019,8:38:00 pm,Ewallet,4.1
638-60-7125,Alex,Yangon,Member,Female,Electronic accessories,99.56,836.304,2/14/2019,5:03:00 pm,Credit card,5.2
659-36-1684,Giza,Naypyitaw,Member,Female,Sports and travel,57.12,419.832,01/12/2019,12:02:00 pm,Credit card,6.5
219-22-9386,Cairo,Mandalay,Member,Female,Sports and travel,99.96,944.622,03/09/2019,5:26:00 pm,Credit card,4.2
336-78-2147,Giza,Naypyitaw,Member,Female,Home and lifestyle,63.91,536.844,3/13/2019,7:52:00 pm,Credit card,4.6
268-27-6179,Cairo,Mandalay,Member,Female,Fashion accessories,56.47,474.348,03/09/2019,2:57:00 pm,Ewallet,7.3
668-90-8900,Alex,Yangon,Member,Female,Home and lifestyle,93.69,688.6215,03/10/2019,6:44:00 pm,Credit card,4.5
870-54-3162,Alex,Yangon,Member,Female,Sports and travel,32.25,169.3125,1/27/2019,1:26:00 pm,Cash,9
189-08-9157,Giza,Naypyitaw,Member,Female,Fashion accessories,31.73,299.8485,01/08/2019,4:17:00 pm,Credit card,5.9
663-86-9076,Giza,Naypyitaw,Member,Female,Food and beverages,68.54,575.736,01/08/2019,3:57:00 pm,Ewallet,8.5
549-84-7482,Cairo,Mandalay,Member,Female,Sports and travel,90.28,853.146,02/08/2019,11:15:00 am,Ewallet,7.2
191-10-6171,Cairo,Mandalay,Normal,Female,Fashion accessories,39.62,291.207,1/25/2019,1:18:00 pm,Cash,7.5
802-70-5316,Alex,Yangon,Member,Female,Sports and travel,92.13,580.419,03/06/2019,8:34:00 pm,Cash,8.3
695-51-0018,Cairo,Mandalay,Normal,Female,Sports and travel,34.84,146.328,02/10/2019,6:36:00 pm,Cash,7.4
590-83-4591,Cairo,Mandalay,Member,Female,Electronic accessories,87.45,550.935,2/17/2019,2:40:00 pm,Credit card,8.8
483-71-1164,Giza,Naypyitaw,Normal,Female,Health and beauty,81.3,512.19,03/08/2019,4:43:00 pm,Ewallet,5.3
597-78-7908,Giza,Naypyitaw,Normal,Female,Fashion accessories,90.22,284.193,2/18/2019,7:39:00 pm,Cash,6.2
700-81-1757,Alex,Yangon,Normal,Female,Electronic accessories,26.31,138.1275,1/18/2019,8:59:00 pm,Credit card,8.8
354-39-5160,Alex,Yangon,Member,Female,Home and lifestyle,34.42,216.846,2/18/2019,3:39:00 pm,Cash,9.8
241-72-9525,Cairo,Mandalay,Normal,Female,Sports and travel,51.91,545.055,2/16/2019,12:21:00 pm,Cash,8.2
575-30-8091,Alex,Yangon,Normal,Female,Sports and travel,72.5,609,3/16/2019,7:25:00 pm,Ewallet,9.2
731-81-9469,Giza,Naypyitaw,Member,Female,Sports and travel,89.8,942.9,1/23/2019,1:00:00 pm,Credit card,5.4
280-17-4359,Giza,Naypyitaw,Member,Male,Health and beauty,90.5,950.25,1/25/2019,1:48:00 pm,Cash,8.1
338-65-2210,Giza,Naypyitaw,Member,Female,Health and beauty,68.6,720.3,02/05/2019,7:57:00 pm,Cash,9.1
488-25-4221,Giza,Naypyitaw,Member,Female,Food and beverages,30.41,31.9305,2/22/2019,10:36:00 am,Credit card,8.4
239-10-7476,Alex,Yangon,Normal,Female,Home and lifestyle,77.95,491.085,1/21/2019,4:37:00 pm,Ewallet,8
458-41-1477,Giza,Naypyitaw,Normal,Female,Health and beauty,46.26,291.438,03/08/2019,5:11:00 pm,Credit card,9.5
685-64-1609,Alex,Yangon,Member,Female,Fashion accessories,30.14,316.47,02/10/2019,12:28:00 pm,Ewallet,9.2
568-90-5112,Giza,Naypyitaw,Normal,Male,Health and beauty,66.14,277.788,3/19/2019,12:46:00 pm,Credit card,5.6
262-47-2794,Cairo,Mandalay,Member,Male,Home and lifestyle,71.86,603.624,03/06/2019,3:07:00 pm,Credit card,6.2
238-49-0436,Alex,Yangon,Normal,Male,Health and beauty,32.46,272.664,3/27/2019,1:48:00 pm,Credit card,4.9
608-96-3517,Cairo,Mandalay,Member,Female,Fashion accessories,91.54,384.468,3/23/2019,7:20:00 pm,Credit card,4.8
584-86-7256,Giza,Naypyitaw,Member,Male,Sports and travel,34.56,254.016,03/11/2019,4:07:00 pm,Credit card,7.3
746-94-0204,Alex,Yangon,Normal,Male,Fashion accessories,83.24,786.618,1/29/2019,11:56:00 am,Credit card,7.4
214-17-6927,Giza,Naypyitaw,Normal,Female,Food and beverages,16.48,103.824,02/07/2019,6:23:00 pm,Ewallet,9.9
400-89-4171,Giza,Naypyitaw,Normal,Female,Sports and travel,80.97,680.148,1/28/2019,1:05:00 pm,Cash,9.3
782-95-9291,Alex,Yangon,Member,Male,Food and beverages,92.29,484.5225,2/20/2019,3:55:00 pm,Credit card,9
279-74-2924,Cairo,Mandalay,Member,Male,Electronic accessories,72.17,75.7785,01/04/2019,7:40:00 pm,Cash,6.1
307-85-2293,Cairo,Mandalay,Normal,Male,Home and lifestyle,50.28,263.97,03/07/2019,1:58:00 pm,Ewallet,9.7
743-04-1105,Cairo,Mandalay,Member,Male,Health and beauty,97.22,918.729,3/30/2019,2:43:00 pm,Ewallet,6
423-57-2993,Cairo,Mandalay,Normal,Male,Sports and travel,93.39,588.357,3/27/2019,7:18:00 pm,Ewallet,10
894-41-5205,Giza,Naypyitaw,Normal,Female,Food and beverages,43.18,362.712,1/19/2019,7:39:00 pm,Credit card,8.3
275-28-0149,Alex,Yangon,Normal,Male,Sports and travel,63.69,66.8745,2/25/2019,4:21:00 pm,Cash,6
101-17-6199,Alex,Yangon,Normal,Male,Food and beverages,45.79,336.5565,3/13/2019,7:44:00 pm,Credit card,7
423-80-0988,Giza,Naypyitaw,Normal,Male,Sports and travel,76.4,160.44,1/30/2019,7:42:00 pm,Ewallet,6.5
548-46-9322,Cairo,Mandalay,Normal,Male,Food and beverages,39.9,418.95,2/20/2019,3:24:00 pm,Credit card,5.9
505-02-0892,Cairo,Mandalay,Member,Male,Health and beauty,42.57,357.588,2/25/2019,2:12:00 pm,Ewallet,5.6
234-65-2137,Giza,Naypyitaw,Normal,Male,Home and lifestyle,95.58,1003.59,1/16/2019,1:32:00 pm,Cash,4.8
687-47-8271,Alex,Yangon,Normal,Male,Fashion accessories,98.98,1039.29,02/08/2019,4:20:00 pm,Credit card,8.7
796-32-9050,Alex,Yangon,Normal,Male,Food and beverages,51.28,323.064,1/19/2019,4:31:00 pm,Cash,6.5
105-31-1824,Alex,Yangon,Member,Male,Sports and travel,69.52,510.972,02/01/2019,3:10:00 pm,Credit card,8.5
249-42-3782,Alex,Yangon,Normal,Male,Health and beauty,70.01,367.5525,01/03/2019,11:36:00 am,Ewallet,5.5
316-55-4634,Cairo,Mandalay,Member,Male,Food and beverages,80.05,420.2625,1/26/2019,12:45:00 pm,Credit card,9.4
733-33-4967,Giza,Naypyitaw,Normal,Male,Electronic accessories,20.85,175.14,03/03/2019,7:17:00 pm,Cash,6.3
608-27-6295,Cairo,Mandalay,Member,Male,Electronic accessories,52.89,333.207,1/19/2019,5:34:00 pm,Credit card,9.8
414-12-7047,Cairo,Mandalay,Normal,Male,Food and beverages,19.79,166.236,1/18/2019,12:04:00 pm,Ewallet,8.7
827-26-2100,Alex,Yangon,Member,Male,Home and lifestyle,33.84,319.788,3/21/2019,4:21:00 pm,Ewallet,8.8
175-54-2529,Alex,Yangon,Member,Male,Food and beverages,22.17,186.228,03/03/2019,5:01:00 pm,Credit card,9.6
139-52-2867,Giza,Naypyitaw,Normal,Female,Fashion accessories,22.51,165.4485,2/13/2019,10:50:00 am,Credit card,4.8
407-63-8975,Alex,Yangon,Normal,Male,Food and beverages,73.88,465.444,3/23/2019,7:16:00 pm,Ewallet,4.4
342-65-4817,Giza,Naypyitaw,Member,Male,Health and beauty,86.8,273.42,1/28/2019,4:47:00 pm,Ewallet,9.9
130-98-8941,Giza,Naypyitaw,Normal,Male,Fashion accessories,64.26,472.311,02/09/2019,10:00:00 am,Cash,5.7
434-83-9547,Giza,Naypyitaw,Member,Male,Food and beverages,38.47,323.148,1/23/2019,11:51:00 am,Cash,7.7
851-28-6367,Alex,Yangon,Member,Male,Sports and travel,15.5,162.75,3/23/2019,10:55:00 am,Ewallet,8
824-88-3614,Giza,Naypyitaw,Normal,Male,Health and beauty,34.31,288.204,1/25/2019,3:00:00 pm,Ewallet,5.7
586-25-0848,Alex,Yangon,Normal,Female,Sports and travel,12.34,90.699,03/04/2019,11:19:00 am,Credit card,6.7
895-66-0685,Cairo,Mandalay,Member,Male,Food and beverages,18.08,56.952,03/05/2019,7:46:00 pm,Ewallet,8
305-14-0245,Cairo,Mandalay,Member,Female,Home and lifestyle,94.49,793.716,03/03/2019,7:00:00 pm,Ewallet,7.5
732-04-5373,Cairo,Mandalay,Member,Male,Home and lifestyle,46.47,195.174,02/08/2019,10:53:00 am,Cash,7
400-60-7251,Alex,Yangon,Normal,Male,Home and lifestyle,74.07,77.7735,02/10/2019,12:50:00 pm,Ewallet,9.9
593-65-1552,Giza,Naypyitaw,Normal,Female,Home and lifestyle,69.81,293.202,1/28/2019,8:50:00 pm,Credit card,5.9
284-34-9626,Cairo,Mandalay,Normal,Female,Home and lifestyle,77.04,242.676,02/11/2019,10:39:00 am,Credit card,7.2
437-58-8131,Cairo,Mandalay,Normal,Female,Fashion accessories,73.52,154.392,1/15/2019,1:41:00 pm,Ewallet,4.6
286-43-6208,Giza,Naypyitaw,Normal,Female,Food and beverages,87.8,829.71,3/16/2019,7:08:00 pm,Cash,9.2
641-43-2399,Cairo,Mandalay,Normal,Male,Home and lifestyle,25.55,107.31,1/26/2019,8:23:00 pm,Ewallet,5.7
831-07-6050,Alex,Yangon,Normal,Male,Electronic accessories,32.71,171.7275,3/19/2019,11:30:00 am,Credit card,9.9
556-86-3144,Giza,Naypyitaw,Member,Female,Fashion accessories,74.29,78.0045,1/13/2019,7:30:00 pm,Cash,5
848-24-9445,Giza,Naypyitaw,Member,Male,Health and beauty,43.7,91.77,3/26/2019,6:03:00 pm,Cash,4.9
856-22-8149,Alex,Yangon,Normal,Female,Home and lifestyle,25.29,26.5545,3/23/2019,10:13:00 am,Ewallet,6.1
699-01-4164,Giza,Naypyitaw,Normal,Male,Health and beauty,41.5,174.3,03/12/2019,7:58:00 pm,Credit card,8.2
420-11-4919,Giza,Naypyitaw,Member,Female,Food and beverages,71.39,374.7975,2/17/2019,7:57:00 pm,Credit card,5.5
606-80-4905,Giza,Naypyitaw,Member,Female,Sports and travel,19.15,120.645,1/29/2019,10:01:00 am,Credit card,6.8
542-41-0513,Cairo,Mandalay,Member,Female,Electronic accessories,57.49,241.458,3/15/2019,11:57:00 am,Cash,6.6
426-39-2418,Giza,Naypyitaw,Normal,Male,Electronic accessories,61.41,451.3635,1/14/2019,10:02:00 am,Cash,9.8
875-46-5808,Cairo,Mandalay,Member,Male,Health and beauty,25.9,271.95,02/06/2019,2:51:00 pm,Ewallet,8.7
394-43-4238,Cairo,Mandalay,Member,Male,Home and lifestyle,17.77,93.2925,2/15/2019,12:42:00 pm,Credit card,5.4
749-24-1565,Alex,Yangon,Normal,Female,Health and beauty,23.03,217.6335,01/03/2019,12:02:00 pm,Ewallet,7.9
672-51-8681,Giza,Naypyitaw,Member,Female,Electronic accessories,66.65,629.8425,01/04/2019,6:19:00 pm,Credit card,9.7
263-87-5680,Giza,Naypyitaw,Member,Female,Home and lifestyle,28.53,299.565,3/18/2019,5:38:00 pm,Ewallet,7.8
573-58-9734,Cairo,Mandalay,Normal,Female,Fashion accessories,30.37,95.6655,3/28/2019,1:41:00 pm,Ewallet,5.1
817-69-8206,Cairo,Mandalay,Normal,Female,Electronic accessories,99.73,942.4485,03/02/2019,7:42:00 pm,Credit card,6.5
888-02-0338,Alex,Yangon,Normal,Male,Electronic accessories,26.23,247.8735,1/25/2019,8:24:00 pm,Ewallet,5.9
677-11-0152,Giza,Naypyitaw,Normal,Female,Food and beverages,93.26,881.307,1/16/2019,6:08:00 pm,Cash,8.8
142-63-6033,Cairo,Mandalay,Normal,Male,Home and lifestyle,92.36,484.89,3/20/2019,7:17:00 pm,Ewallet,4.9
656-16-1063,Cairo,Mandalay,Normal,Male,Sports and travel,46.42,146.223,01/04/2019,1:24:00 pm,Credit card,4.4
891-58-8335,Cairo,Mandalay,Member,Female,Sports and travel,29.61,217.6335,03/11/2019,3:53:00 pm,Cash,6.5
